8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:03 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:03 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:03 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:03 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:12:31 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:ProjectEntity; ChildName:ProjectEntityItem
8/1/2012 4:12:33 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:ProjectEntity; ChildName:ProjectEntityItem
8/1/2012 4:12:33 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:ProjectEntity; ChildName:ProjectEntityItem
8/1/2012 4:12:33 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:ProjectEntity; ChildName:ProjectEntityItem
8/1/2012 4:12:34 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:ProjectEntity; ChildName:ProjectEntityItem
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:19 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:13:20 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:41:29 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:42:57 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:35 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 8:43:49 PM:, Error: CreateObjectFromString does not seem to contain the case for 
